Year of award,Name,Film,Oscar category,Birth place,Birth date,Race/Ethnicity,Religion,Sexual orientation,Bio URL,_unit_state
1975,Ingrid Bergman,Murder on the Orient Express,Best Supporting Actress,"Stockholm, Sweden",29-Aug-15,White,Na,Straight,http://www.nndb.com/people/836/000024764/,finalized
1993,Marisa Tomei,My Cousin Vinny,Best Supporting Actress,"Brooklyn, Ny",4-Dec-64,White,Na,Straight,http://www.nndb.com/people/985/000025910/,finalized
1965,Rex Harrison,My Fair Lady,Best Actor,"Huyton, Lancashire, England",5-Mar-08,White,Na,Straight,http://www.nndb.com/people/132/000043003/,finalized
1990,Daniel Day-Lewis,My Left Foot,Best Actor,"London, England",29-Apr-57,White,Na,Straight,http://www.nndb.com/people/788/000022722/,finalized
2003,Sean Penn,Mystic River,Best Actor,"Burbank, Ca",17-Aug-60,White,Roman Catholic,Straight,http://www.nndb.com/people/331/000025256/,finalized
1946,Anne Revere,National Velvet,Best Supporting Actress,New York City,25-Jun-03,White,Na,Straight,http://www.nndb.com/people/081/000063889/,finalized
1977,Peter Finch,Network,Best Actor,"South Kensington, London, England",28-Sep-16,White,Na,Straight,http://www.nndb.com/people/745/000063556/,finalized
2008,Javier Bardem,No Country for Old Men,Best Supporting Actor,"Las Palmas De Gran Canaria, Canary Islands",1-Mar-69,Hispanic,Na,Straight,http://www.nndb.com/people/733/000109406/,finalized
1945,Ethel Barrymore,None but the Lonely Heart,Best Supporting Actress,"Philadelphia, Pa",15-Aug-1879,White,Roman Catholic,Straight,http://www.nndb.com/people/743/000043614/,finalized
1980,Sally Field,Norma Rae,Best Actress,"Pasadena, Ca",6-Nov-46,White,Na,Straight,http://www.nndb.com/people/897/000022831/,finalized
1969,Carol Reed,Oliver!,Best Director,"London, England",30-Dec-06,White,Na,Straight,http://www.nndb.com/people/290/000064098/,finalized
1982,Henry Fonda,On Golden Pond,Best Actor,"Grand Island, Ne",16-May-05,White,Na,Straight,http://www.nndb.com/people/496/000026418/,finalized
1955,Marlon Brando,On the Waterfront,Best Actor,"Omaha, Ne",3-Apr-24,White,Deist,Bisexual,http://www.nndb.com/people/721/000022655/,finalized
